OBJECTID,REPORT_TAKEN_DATE,YEAR,BLOCK_ADDRESS,DISTRICT,PSA,FIELD_CONTACT_TYPE,REASON_FOR_STOP,DATA_TYPE,RACE,ETHNICITY,SEX,AGE
2879,3/8/2014 22:09,2014,900 BLOCK OF ALABAMA AVE SE,7D,705,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Female,22
2880,3/8/2014 22:11,2014,900 BLOCK OF ALABAMA AVE SE,7D,705,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,Juvenile
2881,3/8/2014 22:13,2014,900 BLOCK OF ALABAMA AVE SE,7D,705,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,Juvenile
2882,3/8/2014 22:16,2014,900 BLOCK OF ALABAMA AVE SE,7D,705,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,24
2883,3/8/2014 22:28,2014,100 BLOCK OF 7TH ST NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2884,3/8/2014 22:31,2014,100 BLOCK OF 7TH ST NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2885,3/8/2014 22:33,2014,100 BLOCK OF 7TH ST NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,18
2886,3/8/2014 22:36,2014,100 BLOCK OF 7TH ST NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2887,3/8/2014 22:40,2014,100 BLOCK OF 7TH ST NW,1D,101,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2888,3/9/2014 3:54,2014,UNIT BLOCK OF ST & RITTENHOUSE ST NW,,,Vehicle Stop,Moving Violation,Person,Black,Unknown,Female,50
2889,3/9/2014 4:00,2014,7000 BLOCK OF 5TH ST NW,4D,401,Vehicle Stop,Moving Violation,Person,Black,Unknown,Female,24
2890,3/9/2014 4:03,2014,500 BLOCK OF FERN ST NW,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,72
2891,3/9/2014 6:31,2014,1700 BLOCK OF GOODHOPE ROAD SE,,,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,55
2892,3/9/2014 20:41,2014,Multiple/Unknown Address,,,Pedestrian Stop,Juvenile Contact,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2893,3/9/2014 20:51,2014,1000 BLOCK OF SPRING RD NW,4D,409,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,20
2894,3/9/2014 20:54,2014,1000 BLOCK OF SPRING RD NW,4D,409,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,19
2895,3/9/2014 20:58,2014,1000 BLOCK OF SPRING RD NW,4D,409,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,19
2896,3/10/2014 22:35,2014,1300 BLOCK OF CONGRESS ST SE,7D,705,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
2897,3/10/2014 23:58,2014,2900 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,705,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,23
2898,3/10/2014 23:58,2014,2900 BLOCK OF MARTIN LUTHER KING JR AVE SE,7D,705,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,21
2899,3/11/2014 0:09,2014,4600 BLOCK OF LIVINGSTON RD SE,7D,708,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,28
